题目,求解思路,类型,关联章节
信号范围问题,"根据指定信号值求解时间或者序列范围：<小蓝书 P6 1-2>
1、根据已有的方程确定
2、可以采用特殊值代入进行验证
注意：考虑无穷处的值是否满足
——————————————————————————
输入$x[n]$界定值和输出$y[n]$界定值的关系：
0、假设输入界定值为$B$，输出界定值为$C$（界定值是信号的范围小于该界定值，其它情况立即推）
1、通过输入与输出的关系，估算输出的用输入表示的界定值（用B表示的式子）
2、由于输出界定值是最接近输出的，所以C应该小于等于上述估算的用B表示的式子（注意取等号的条件，对输入的值的要求）",简单,信号系统
微分（差分）方程判定系统性质,"<小蓝书 P52 2-22（一阶微分方程LTI的证明）P52 2-23（一阶差分方程LTI的证明）>
线性特性证明：
1、列出不同输入信号对应的系统微分（差分）方程（微分方程后需要标注输出信号为0时的$t$的范围）
2、将系统微分（差分）方程组合
3、说明输入的组合与输出的组合形式一致，并且输入与输出的信号存在的范围（信号非零；输入为0，输出也为0）一致
问题：如果输入和输出范围不一致是什么情况（输入为0，但是输出不为0）？答：这是初始松弛条件硬性规定的，输入为0，输出一定也是0（强制）
——————————————————————————
时不变特性证明：
1、列出原输入信号对应的系统微分（差分）方程（微分方程后需要标注输出信号为0时的$t$的范围）
2、列出原输入信号时移之后的信号对应的系统微分（差分）方程（将时移之后的信号用原信号表示）（定义域：微分方程后需要标注输出信号为0时的$t$的范围）
3、对2中的系统微分（差分）方程做变量替换，与1中的输入信号的变量形式表示一致（定义域：微分方程后需要标注时移之后的输出信号为0时的$t$的范围）
4、将1、2（变量替换后的）方程做对比，找到时移信号输出的信号与原信号输出的信号的对应关系（定义域：时移之后的输入信号为0的范围和时移之后的输出信号为0的范围是一致的）
——————————————————————————
因果特性证明：
1、设定有初始松弛条件的系统<小蓝书 P52 2-22>：一定是因果的（LTI系统初始松弛等效于系统因果）（证明：初始松弛条件，即$x(t)=0,t<0$时，有$y(t)=0,t<0$，又因为系统是时不变的，所以说明系统输出不会早于输入，而系统输出不早于输入正是系统因果性的条件）（初始松弛应用：若系统满足初始松弛，即$x(t)=0,t<0$时，有$y(t)=0,t<0 $，可以得到$y(0)=0$，可以用该点的值求解系统未知参数，即可以作为一个求解辅助条件）
2、没有说初始松弛条件的系统<小蓝书 P52 2-22>：可以根据系统单位冲激响应推断，即单位冲激响应在$t<0$时，$h(t)=0$","思路, 简单",LTI系统
离散信号的基波频率问题,"<小蓝书 P27 1-26 1-27>（写的太复杂，理解即可）
0、假设：信号为$x[n]=e^{jm(2\pi / N)n}$
1、结论：$gcd(m,N)$是$m$和$N$中的最大公约数，则离散信号$x[n]=e^{jm(2\pi / N)n}$的基波周期为$N_0 = N / gcd(m,N)$
2、理解：对于信号$x_1[n]=e^{j2(2\pi / 3)n}$和$x_2[n]=e^{j(2\pi / 3)n}$，按照以上结论，这两个信号的基波周期都是3，区别在于$x_1[n]$的角频率比$x_2[n]$的角频率变化的快，当$x_1[n]$的角频率变化再快一些，变成$x_3[n]=e^{j3(2\pi / 3)n}$，这时$x_3[n]=e^{j(2\pi)n}$，基波周期变成了1，当$x_1[n]$的角频率变化再快一些，变成$x_4[n]=e^{j4(2\pi / 3)n}$，这时基波周期又变成了3（类似于人眼的只能按照指定频率扫描，当看风扇转动时，看到有扇叶静止的时候，可能是频率又轮转回来了）
3、应用：对于一连续信号$x(t)=e^{jw_0t}$，基波频率是$w_0$，基波周期$T_0$是$2\pi / w_0$，对该离散信号进行$T$的等间隔取样，即$x[n] = x(nT) = e^{jw_0nT}$，可以使用周期的定义（设周期是$N$，使用周期的定义进行证明，试着证一下）来证明只有$T/T_0$是有理数时，$x[n]$才是周期的，设周期是$N$，即$\frac{T}{T_0}=\frac{p}{q}$，其中$p$和$q$都是有理数（注意$\frac{p}{q}$不一定是最简形式），则$x[n] = e^{jw_0nT} = e^{j\frac{2\pi}{T_0}nT} = e^{jp\frac{2\pi}{q}n}$，由上述的结论部分可知，离散信号$x[n]$的基波周期为$N_0 = N / gcd(p,q)$（理解：当$\frac{T}{T_0}=\frac{1}{3}$时，即可简单地认为连续信号是以3为周期，离散信号以1来取样，那么离散信号肯定需要取三次才能取到一个周期；当$\frac{T}{T_0}=\frac{3}{1}$，即可简单地认为连续信号是以1为周期，离散信号以3来取样，那么离散信号取一次就能取到一个周期；当$\frac{T}{T_0}=\frac{2}{6}$时，即可简单地认为连续信号是以6为周期，离散信号以2来取样，那么离散信号需要取三次（3 * 2）才能取到一个周期（6））；当$\frac{T}{T_0}=\frac{3}{7}$，即可简单地认为连续信号是以7为周期，离散信号以3来取样，那么离散信号需要取七次（7 * 3）就能取到一个周期（就是将连续信号的三个周期为21，然后被取样，刚好能取完整，续上下一个离散的取样）","中等, 思路",信号系统
一些杂例,"反例：
1、一个因果的LTI系统的逆系统不总是因果的：$\delta[n+1] * \delta[n-1] = \delta[n]$
2、一个因果的LTI系统与一个非因果的LTI系统级联，不一定是非因果的：$\delta[n+1] * \delta[n-1] = \delta[n]$
3、一个连续LTI系统稳定，则单位阶跃响应不一定是绝对可积的：$h(t)=e^{-t}u(t)$是稳定的，但是单位阶跃$s(t)=(1-e^{-t})u(t)$不是绝对可积的
4、输入输出为复常数倍，系统不一定是LTI的
5、两个非线性系统级联的系统可能是线性的：例如$y(t)=x(t)+C$和$z(t)=y(t)-C$
——————————————————————————
正例：
1、当且仅当一个离散LTI系统的单位阶跃响应在$n<0$时为$0$，系统是因果的：因为$h[n]=s[n]-s[n-1]$，如果$s[n]$在$n<0$时为$0$，那么$h[n]$在n<0时为$0$，此时系统因果（充分性）；又如果系统是因果的，则$h[n]$在$n<0$时为$0$，由$s[n]=\sum_{k=0}^{\infty}h[n-k]$可知，此时$s[n]$在$n<0$时为$0$（必要性）
——————————————————————————
注意事项：
1、当关系式中出现除变量计算时，注意对变量的0值进行排除（例如傅里叶级数的$a_0$的值单独计算<小蓝书 P75 3-2>）
2、题目中的当且仅当是充要条件的意思
3、时域相乘信号，如果其中一个信号包含零值，在根据相乘结果求解另一个信号时会增加这部分的值的不确定性（0乘什么都是0）
4、如果是线性时不变系统，那么初始松弛条件（即$x(t)=0,t<0$时，有$y(t)=0,t<0 $）等价于系统满足因果性，即输出信号只与现在或过去的输入信号有关，与以后的输入无关",易错,"LTI系统, 信号系统通识, 傅里叶级数"
信号的卷积,"卷积的性质：
1、函数卷积后的微分：$\frac{\mathrm{d}}{\mathrm{d} t}[x(t) * h(t)]=x(t) * \frac{\mathrm{d}}{\mathrm{d} t} h(t)=\frac{\mathrm{d}}{\mathrm{d} t} x(t) * h(t)$（一边先进行微分）（可以推导至卷积后的二阶微分，由公式得两个信号都先微分再卷积）
2、函数卷积后的积分：$\int_{-\infty}^{t}[x(\tau) * h(\tau)] \mathrm{d} \tau=x(t) * \int_{-\infty}^{t} h(\tau) \mathrm{d} \tau=\left[\int_{-\infty}^{t} x(\tau) \mathrm{d} \tau\right] * h(t)$（一边先进行积分）（可以推导至卷积后的二阶积分，由公式得两个信号都先积分再卷积）
3、函数延时后再卷积：$x\left(t-t_{1}\right) * h\left(t-t_{2}\right)=y\left(t-t_{1}-t_{2}\right)$
——————————————————————————
卷积求解类型：
1、窗函数卷积（两个窗信号）（连续信号端点重合/离散信号最少有一个点重合值才不为0，可以判断输出的长度）
2、函数与冲激信号的卷积（将冲激中的平移运算代入到函数中）（如果冲激中的自变量含有非1系数，注意化简）
3、使用卷积定义卷积（一般信号）
4、周期信号表示成级数和的形式（先计算级数的一段卷积，再加上冲激求和函数）
5、对于指定范围的信号（给出图像），使用$u(t)$对函数范围进行框定，转换成闭式表达式，用定义求解
6、利用频域求解：傅里叶变换，拉氏变换，$z$变换等
——————————————————————————
卷积求解技巧：
1、等腰三角形或者等腰梯形可以看作是两个矩形信号的卷积
2、计算离散信号的卷积时，将（一段）阶跃序列转换成脉冲序列的形式
3、求解卷积时可以将时移部分提出来，将别的计算完之后，再与时移进行卷积（利用了与冲激信号或者脉冲信号卷积，更好计算一些）
4、求解周期信号的卷积先求解其中一个周期内的卷积作为基础信号，然后周期信号卷积是以该基础信号，以原信号周期为扩展周期的信号
注意：结果的范围的表示用u(t)、u[n]表示
注意：当半边的时域信号与全域上的冲击序列卷积时，将求和符号挪到外边，求出里面的卷积后将级数展开，求出使得级数收敛的部分（利用前提条件说明的范围）<小蓝书 P42 2-10>
——————————————————————————
窗信号卷积确定输出信号：
1、将系数拆出来单独计算（用来确定最大值，注意两个窗信号是两个系数，还有窗的边界值，最大值是系数*系数*窗长度）
2、对于相同的窗信号：卷积出来是三角形的，确定边界（窗函数边界的代数相加就是卷积后的边界）和顶点即可（图形求解）
3、对于不同的窗信号：卷积出来是梯形的，画个图看一下梯形关键点的范围，自求多福吧
——————————————————————————
窗信号卷积确定输入与输出的范围关系：<小蓝书 P52 2-28>
1、稳妥方法：利用卷积的定义求解卷积信号（其中就包括卷积后信号的上下范围）
2、特殊技巧：画出图像，保持其中一个不变，对另一个进行反转后平移，当两个图像有交界时即卷积值不为零（窗函数边界的代数相加就是卷积后的边界，对于含有多个窗函数的，拆分为两两卷积然后线性组合即可）（当非窗函数图像时不要用这个）",简单,LTI系统
逆系统,"1、分离出$h[n]*g[n]=\delta[n]$的形式，$h[n],g[n]$互为逆系统
2、逆系统的拉氏变换的收敛域是一致的（why？）
注意：如果有第一问利用好第一问的结论（进行二次分解）
问题：$h[n],g[n]$在函数形态上是否需要满足什么条件才是互为逆系统？答：两个对称的冲激信号","思路, 疑问, 简单",LTI系统
信号失真与系统类型,"无失真条件：
1、时域波形（形状）未改变
2、仅幅度产生变化（变换后多了常系数（系统的幅度是与频率无关的常数，即幅度谱是一条水平线））
3、时间上有所延迟（系统频域表现为相位与频率具有线性函数关系）
——————————————————————————
失真分类：
1、幅度失真：系统幅度谱在所研究的频带内不是一个常数，会对输入信号的频率分量会进行不同的加权
2、相位失真：系统相位谱在所研究的频带内不是频率的线性函数，会对输入信号的不同频率分量造成不同的延时
——————————————————————————
系统的类型：（离散）（https://zhuanlan.zhihu.com/p/24699726）
1、全通系统：对于每一个极点都有一个互为共轭倒数的零点（关于单位圆反演）
2、最小相位系统：$H(z)$每一个零点和极点都在单位圆内，收敛域在某个圆的外面，此时$\frac{1}{H(z)}$与$H(z)$都收敛，相乘为1，称$H(z)$为最小相位系统
3、任意系统：对于任意的系统都是全通系统和最小相位系统的乘积",中等,"LTI系统, 离散傅里叶变换, 连续傅里叶变换"
傅里叶级数求解,"傅里叶级数的一般求解形式：
1、简单三角信号：转换成复指数的形式和求解基波频率，直接求解傅里叶系数（三角信号的系数个数有限）
2、一般时域信号：根据分析公式求解复指数形式的傅里叶系数（也称频谱系数）
3、级数有限信号：可以将未知数$a_k$当作待求解的线性方程，求解$a_k$
4、注意傅里叶级数的性质的应用
5、利用傅里叶变换与傅里叶级数的关系求解傅里叶级数
注意：连续傅里叶级数对于0点的求值需要进行单独求（因为积分过程中出现了除$k$运算，而分母不能为0）
注意：对于离散事件信号求解出来的傅里叶级数系数标注循环特性（离散时间信号的项数是有限的）
——————————————————————————
针对指定周期求傅里叶级数：
1、将信号表示成指数的形式
2、将周期固定（先把$\frac{2\pi}{T}$拎出来），对$k$进行配平（即选择$k$值使得与表示成的指数形式一致）
——————————————————————————
连续信号傅里叶级数表示形式：
1、指数形式：$x(t)=\sum_{k=-\infty}^{\infty}a_k e^{jk\omega_0t}$
2、三角形式：$x(t)=a_0 + 2\sum_{k=1}^{\infty}A_k cos(k\omega_0t+\theta_k)$（变换：$a_k=A_ke^{j\theta_k}$，就是将$a_k$用极坐标形式表出，注意极坐标的径是大于零的，所以$A_k=|a_k|$（取模，不是绝对值））（前提是实周期信号，有共轭对称性质）
3、笛卡尔形式：$x(t)=a_0 + 2\sum_{k=1}^{\infty}[B_k cos(k\omega_0t)-C_k sin(k\omega_0t)]$（变换：$a_k=B_k+jC_k$）（前提是实周期信号，有共轭对称性质）
——————————————————————————
傅里叶级数逆变换：
1、有限项的傅里叶级数：使用傅里叶级数指数形式展开
2、常见的时域信号的傅里叶级数表示（用于逆推）：矩形信号（$\frac{sin(k*)}{k*}$类似的形式）、常数信号（只有$a_0$项）、0-1奇偶交替离散信号（利用冲激（条线）表示傅里叶级数系数，值非相反对称形式利用$a_0$值进行配平）、1和-1奇偶交替离散信号$(-1)^n = e^{j\pi n}$（利用冲激（条线）表示傅里叶级数系数）
3、拆分和组合：傅里叶级数是多种常见的时域信号的傅里叶级数表示的组合的情况，利用组合获取到能够匹配目标傅里叶级数的信号（线性组合，LTI）",中等,傅里叶级数
傅里叶级数信号操作,"信号通过滤波器：（滤波器的系统频率响应$H(jw)$）
1、系数下标为$k$的项的频率为$kw_0$
2、通过系统时，如果系统频率响应在$kw_0$位置值为0，那么此频率就被过滤掉了
备注：对于复杂的信号，可以先将信号分解成卷积形式，可以分开送入到系统中（因为信号通过系统也是卷积运算，卷积运算具有可交换性）
注意：对于系统频率响应，可以将$H(jw)$表示为$H(jkw_0)$的形式求解（自变量由w换成了k，连续转为了离散）
——————————————————————————
变换后的信号的傅里叶级数系数和基波频率：
1、傅里叶系数：根据傅里叶级数的性质求解变换后的级数表示
2、基波频率：线性组合的信号基波频率不变
——————————————————————————",简单,傅里叶级数
系统的输入输出,"LTI系统-由已知图像求未知图像：（图像）
1、信号可以做的操作：输入输出可以按照相同形式伸缩平移或者叠加组合（平移是时不变的性质，伸缩变换和叠加组合是线性的性质）；输入输出可以同时求导（求导时注意不连续处出现冲激信号）
——————————————————————————
LTI系统的特征函数：
1、对复指数信号的响应：对于LTI系统，复指数信号是其特征函数，所以系统对该类型信号的响应应该与输入的信号形式一致，只会新增一个复常数项（不包含任何自变量）的系数（相反的如果系统对复指数信号的响应与输入形式一致，系统可能是LTI系统）
——————————————————————————
已知单位脉冲响应或频率响应：（三种方法）
1、卷积法（有限信号）：输入与单位脉冲响应进行卷积
2、特定频域法（周期输入）：将单位脉冲响应转换成频率响应和周期的输入转换成傅里叶级数形式，求解输出的傅里叶级数形式
3、特征函数法（复指数输入）：已知系统的频率响应（表示为$H(s)$或者$H(z)$，分别时对复指数信号$e^{st}$的响应和对复指数序列$z^{n}$的响应）和表示成特征函数形式的时域输入信号（连续下的复指数信号$e^{st}$和离散下的复指数序列$z^{n}$），求解输出的一般时域形式
——————————————————————————
已知单位脉冲响应或频率响应：（一般频域法）（知其二求另一/验证LTI性质）
1、利用时域转频域变换先转换成一致（时域、频域），一般为频域
2、通过LTI系统的性质求解（乘积或者卷积）（注意性质的运用）
3、转换成目标结构（时频）
——————————————————————————
已知系统微分方程：（时域解法）<小蓝书 P52 2-22 2-23>
1、求特解（零状态响应）：根据输入的形式设特解形式（一阶微分方程对于$y=e^{at}$的输入，设特解为$y=Ae^{at}$；其它形式方程参考数学常微分方程求解）
2、求齐次解（零输入响应）：根据系统方程形式设齐次解并代入到方程求未知量（一阶微分方程齐次解设为$y=Be^{st}$，其中$s$和$B$均是未知量；其它形式方程参考数学常微分方程求解）
3、确定待定系数：系统初始松弛条件（系统满足初始松弛，即当$t<0$时，$x(t) = 0$时，有$t<0$时，$y(t) = 0 \Rightarrow  y(0)=0$（<小蓝书 P53 题目解答>）；利用题目给出的辅助条件（注意辅助条件的适用范围）；如果输入是分段函数，输出在分段处是连续的<小蓝书 P55 2-23>；
注意：求出的解后面需要标注输出信号不为0时的$t$的范围（定义域），整体（特解+齐次解）的输出信号范围与零状态响应一致（原因是因为系统因果性）（对于组合信号）",中等,"LTI系统, Z变换, 傅里叶级数, 拉普拉斯变换, 离散傅里叶变换, 连续傅里叶变换"
猜信号,"傅里叶级数：
1、主要依据：傅里叶级数的表达式
2、$a_k=a_{k+m}$条件：此条件可以求得连续信号只在指定点有值（冲激信号），其余位置为0
3、帕萨瓦尔条件：时域信号周期平方均值等于频域$a_k$序列平方和
4、共轭对称条件：利用共轭对称推出时域和频域的实虚和奇偶特性
——————————————————————————
离散傅里叶变换：
1、有限值时可以假设信号
2、离散傅里叶变换和逆变换的运用
3、离散傅里叶变换性质的运用
——————————————————————————
连续傅里叶变换：
1、连续傅里叶变换和逆变换的运用（分析综合公式）
2、连续傅里叶变换性质的运用（共轭对称性等）",中等,"傅里叶级数, 离散傅里叶变换, 连续傅里叶变换"
信号（变换）求值,"求解信号的值：（连续傅里叶变换/离散傅里叶变换）
1、求解频域零点或者时域零点的值（频域积分或者时域积分）：利用分析综合公式（注意综合式不要漏$\frac{1}{2\pi}$）
2、频域信号与函数相乘的积分：将被积函数当作整体，计算该整体相对于原频域信号的变换，再利用分析综合公式转换到时域求值（对于时域信号的卷积的积分也是类似的，都需要用到时域相乘或者卷积的性质）（$\frac{1}{2\pi}\int_{-\pi}^{\pi}H_1(e^{j\omega})H_2(e^{j\omega})d\omega=(h_1[n]*h_2[n])|_{n=0}$（如果$h_1[n],h_2[n]$均为因果系统的单位冲激响应，则$(h_1[n]*h_2[n])|_{n=0}=h_1[0]h_2[0]$））
3、求解频域信号或时域信号的模平方：看到平方就想到用帕萨瓦尔；如果是更高次方函数的积分运算用时域相乘频域卷积的性质转换到频域计算；如果模内是信号的频域微分之类的先求解相应变换后的信号
4、求解角度：利用平移性质转换为奇数信号（频域为纯虚）或者偶数信号（频域为纯实）
5、实部或者虚部信号的反变换：利用共轭对称性质，将信号拆解成奇数部分和偶数部分
6、离散信号求解频域特定位置的值：将值代入到综合公式中求解
注意：离散情况下积分的范围是在$2\pi$范围内
——————————————————————————
信号特性的判断：（连续傅里叶变换/离散傅里叶变换）
1、共轭对称性：判断信号的频域与时域的奇偶和实虚特性
2、频域乘以指数函数：时域信号频移性质
3、频域或者时域的积分为指定值：分析综合公式转换成某个点的值
4、频域周期性判断：离散信号的频域一定是周期的",中等,"傅里叶级数, 离散傅里叶变换, 连续傅里叶变换"
频域和时域的奇偶性和实虚性的转换,"（适用于傅里叶级数/傅里叶变换（连续/离散））
准则：
1、频域和时域的奇偶性保持一致
2、偶数变换前后实虚一致，奇数变换前后实虚相反
——————————————————————————
方法：
1、将要判断的信号分解成奇部和偶部
2、分别对奇部和偶部进行判断
——————————————————————————
区别：
1、对于傅里叶级数的判断，频域值相当于是$a_k$",简单,"傅里叶级数, 离散傅里叶变换, 连续傅里叶变换"
对偶性推导与应用,"连续傅里叶变换自身的对偶性：
1、对偶关系：若$ x(t)\leftrightarrow X(jw)$，则$X(j t) \leftrightarrow 2 \pi x(-\omega)$
2、推导过程：将傅里叶变换的分析式转换成综合式的形式即可
3、应用场景：矩形时域信号和矩形频域信号的傅里叶变换的互相转换
——————————————————————————
离散傅里叶级数自身的对偶性：（了解即可，大概率不考）
1、对偶关系：$ x[n]\leftrightarrow a_k$，则$ Na_{-k}\leftrightarrow x[n]$
2、推导过程：将傅里叶级数的分析式转换成综合式的形式即可
3、应用场景：课本未提
——————————————————————————
连续傅里叶级数与离散傅里叶变换的对偶性：（了解即可，大概率不考）
1、对偶关系：连续级数变换对为$ x(t)\leftrightarrow a_k$，离散傅里叶变换对为$ x[n]\leftrightarrow  X(e^{jw})$，若连续傅里叶级数周期为$2\pi$，则有级数变换对$ X(jt) \leftrightarrow x[-n]$，有离散傅里叶变换对$a_{-k} \leftrightarrow x(t)$
2、推导过程：若连续傅里叶级数周期为$2\pi$，并且已知连续傅里叶级数信号时域和频域，将连续傅里叶级数的分析式转换成离散傅里叶变换的综合式形式，可以得到离散傅里叶变换对$a_{-k} \leftrightarrow x(t)$（即与$ x[n]\leftrightarrow X(jw)$对应）；若已知离散傅里叶级数信号的时域和频域，将离散傅里叶级数的分析式转换成连续傅里叶级数的综合式形式，可以得到连续傅里叶级数变换对$ X(e^{jt}) \leftrightarrow x[-n]$（即与$ x(t)\leftrightarrow a_k$对应）（注意：如果运用这两个对偶式，先将一部分值排列出来，作为运算之后的验证）
3、应用场景：课本未提",简单,"傅里叶级数, 离散傅里叶变换, 连续傅里叶变换"
傅里叶变换与傅里叶级数,"求解周期信号的傅里叶变换：（连续）
1、关系式：对于级数$x(t)=\sum_{k=-\infty}^{+\infty} a_{k} \mathrm{e}^{j k \omega_{0} t}$的傅里叶变换为$X(\mathrm{j} \omega)=\sum_{k=-\infty}^{+\infty} 2 \pi a_{k} \delta\left(\omega-k \omega_{0}\right)$，其中$a_k$是傅里叶级数系数，按照实际情况求解（取周期信号的一个周期求解）
2、特殊情况：对于周期冲激信号$x(t)=\sum_{k=-\infty}^{+\infty} \delta(t - T k)$的傅里叶变换为$X(\mathrm{j} \omega)=\frac{2\pi}{T}\sum_{k=-\infty}^{+\infty}   \delta\left(\omega-k \frac{2\pi}{T}\right)$，即$a_k=\frac{1}{T}$
3、易出错的点：在级数系数求解方面，对于$a_k=\frac{1}{T}\int_{T} x(t) e^{-j \omega_0 t} d t$的计算，需要单独把$k=0$的情况拿出来讨论（因为此处无法积分）；在级数系数性质方面，$k=0$处的情况与$k\ne 0$的情况是无关的，$k=0$处只有当被积函数是奇函数的时候才是0，即$a_0=0$，对于$k$不等于$0$时，如果信号是周期方波（周期是$T$，信号为$1$的范围是$2T_1$），可以得到$a_k=\frac{sin(2\pi k T_1 / T)}{\pi k}$，当$2T_1/T=1$时（此时就是直流信号，不再具有方波的性质），$a_k=0$（$k \gt 0$）恒成立（所以这里在遇到方波的时候，需要对方波的信号进行分类讨论）
——————————————————————————
由傅里叶变换求傅里叶级数系数：（连续）
1、关系式：对周期信号$x(t)$取一个周期$x_1(t)$，即傅里叶级数系数可以表示为$a_{k}=\frac{1}{T} \int_{-T / 2}^{T / 2} x(t) \mathrm{e}^{-\mathrm{j} k \omega_{0} t} \mathrm{~d} t=\frac{1}{T} \int_{-\infty}^{+\infty} x_1(t) \mathrm{e}^{-\mathrm{j} k \omega_{0} t} \mathrm{~d} t$，其中一个周期的傅里叶变换$X(j \omega)=\int_{-\infty}^{+\infty} x_1(t) \mathrm{e}^{-\mathrm{j} \omega t} \mathrm{~d} t$，所以傅里叶级数用一个周期内的傅里叶变换表示就是$a_{k}=\frac{1}{T} X\left(\mathrm{j} k \omega_{0}\right)$
2、应用场景：当对于一个周期信号，一个周期内的傅里叶变换相对于傅里叶级数系数来说比较好求，或者一个周期内的信号可以用常用的傅里叶变换求解
——————————————————————————
求解周期信号的傅里叶变换：（离散）
1、关系式：对于级数$x[n]=\sum_{k=<N>}a_{k} \mathrm{e}^{j k \omega_{0} n}$的傅里叶变换为$X(\mathrm{e}^{\mathrm{j} \omega})=\sum_{k=-\infty}^{+\infty} 2 \pi a_{k} \delta\left(\omega-k \frac{2\pi}{N}\right)$，其中$a_k$是傅里叶级数系数
——————————————————————————
离散下的离散傅里叶变换：（离散）（这个不该放这里）
2、DFT：离散傅里叶级数系数构成了DFT，对于它的计算有一个FFT（快速傅里叶变换）的算法；并且由DFT可以恢复原有限长信号（离散傅里叶级数变换对）","中等, 思路","傅里叶级数, 离散傅里叶变换, 连续傅里叶变换"
信号的模和相位,"模与相位的定义：
1、频域信号用模和相位表示：$H(jw) = |H(jw)|e^{jarg(H(jw))}$
——————————————————————————
模和相位的拆分运用：
1、对于利用特征函数求解法，如果将$H(jw)$表示成$ |H(jw)|e^{jarg(H(jw))}$形式，如果$ |H(jw)|=1$，则可以求解对应频率的角度变换$e^{jarg(H(jw))}$（相当于对原始信号进行时域平移），从而得到对应指数信号的复数响应，然后得到系统变换结果<小绿书4-30>
——————————————————————————
模与相位的求解：
1、傅里叶变换法：求解信号的傅里叶变换，将信号傅里叶变换化简成模乘相位的形式
2、利用信号性质：例如实偶信号变换后还是实偶信号，实偶信号的相位为0，这就可以很快判断出信号的相位（如果信号并不是实偶的形式，可以通过平移变换之类的化简成实偶信号，然后再求解原信号的相位即可）；对于实奇信号也是类似的
3、实数信号相位：实数信号相位可以为$0$也可以为$\pi$，对应到时域为系数$1$和$-1$；（易忽略点）",简单,连续傅里叶变换
连续傅里叶变换求解,"连续非周期信号：（一般信号，导数信号，冲激（阶跃）信号，抽象信号，有限三角信号）
1、注意使用傅里叶变换的性质来简化计算（注意形式的拆分和组合）
2、冲激信号和一般信号：使用傅里叶变换对（分析公式）求解
3、有限三角信号：转换成指数形式，运用积分（分析公式）求解
4、抽象信号（给出已知变换参照的）：一般用已知信号通过性质的变换求解
5、运用连续傅里叶变换的对偶性（理解和推导常用的变换对）（记忆矩形时域和矩形频域的变换）
注意：分段函数判定运用积分性质的条件（积分性质前提：负无穷为0，正无穷为常数）
——————————————————————————
连续周期信号：（一般三角信号、常数信号、单位阶跃）（一般不收敛）
1、一般三角信号换成带系数的三角信号可以利用$sin$和$cos$的变换进行拼凑（记忆sin和cos的傅里叶变换）
2、常数信号→$1 \leftrightarrow 2\pi \delta(w)$
3、单位阶跃信号的变换：$\frac{1}{j \omega}+\pi \delta(\omega)$，公式记忆（推导：利用时域积分性质和单位冲激的傅里叶变换进行推导）
4、其它周期信号：利用傅里叶级数与傅里叶变换的关系式（对于级数$x(t)=\sum_{k=-\infty}^{+\infty} a_{k} \mathrm{e}^{j k \omega_{0} t}$的傅里叶变换为$X(\mathrm{j} \omega)=\sum_{k=-\infty}^{+\infty} 2 \pi a_{k} \delta\left(\omega-k \omega_{0}\right)$，其中$a_k$是傅里叶级数系数，对于该系数表示，如果含有各种参数，有可能需要对参数的值进行讨论）
5、复杂三角函数：积化和差的运用
——————————————————————————
逆变换求解：
1、频域分解：利用性质化简，做部分分式展开
2、求解：利用常用的傅里叶变换对（上述的周期或者非周期的傅里叶变换）或者用综合公式求解
注意：因式分解分母可分解成式子乘积或者分母分解成平方和常数的和
——————————————————————————
变换性质运用：
1、时域卷积：转换为频域相乘
2、时域相乘：转换为频域卷积（莫忘系数$\frac{1}{2 \pi}$！！！）
——————————————————————————
傅里叶变换技巧：
1、时域积分形式求解：转换成卷积，使用频域求解（凡是遇到积分的求解，都要想到转成卷积的形式）",中等,连续傅里叶变换
离散傅里叶变换求解,"非周期信号：（一般信号，差分信号，脉冲信号）
1、一般信号：应用分析公式，级数求和（等比数列求和）
2、冲激信号：应用分析公式，求和
3、应用离散傅里叶变换的性质（注意形式的拆分和组合）
——————————————————————————
非周期逆变换：
1、应用综合公式积分
2、应用离散傅里叶变换的性质（注意形式的拆分和组合），对频域的式子进行拆分，分别求逆变换
3、应用常用的傅里叶变换变换对
——————————————————————————
周期信号：（简单三角信号）
1、简单三角信号：展开成$e^{jw_0}$的形式，用展开公式（$e^{jw_0n} \leftrightarrow \sum_{l=-\infty}^{\infty}2\pi \delta(w-w_0-2\pi l)$），常数信号是$w_0$为0的形式（特殊）
注意：如果遇到在周期边界的情况，两边在级数中会合成一个，所以在单项的表示中两边分别是一半（常用）或者抹除掉其中一边
注意：离散傅里叶变换的结果是级数形式（因为离散傅里叶变换是$2\pi$周期的），如果将结果限制到一个$2\pi$范围内（在结果后面标注$w$的范围），就不需要表示成级数的形式
——————————————————————————
周期逆变换：
1、根据$e^{jw_0n} \leftrightarrow \sum_{l=-\infty}^{\infty}2\pi \delta(w-w_0-2\pi l)$逆推
——————————————————————————
性质运用：
1、应用离散傅里叶变换的性质
2、共轭对称性质（特别是实信号的傅里叶变换之间的对应关系，时域信号的奇偶性与频域信号的实虚性的对应关系）
3、平移性质只有整数才能应用；非整数可以根据实际式子展开求解；猜测：非整数的平移可以将离散信号转换为连续信号，对连续信号平移之后，再对平移后的连续信号进行重新取样<小蓝书P176 5-23证明>
4、如果是周期函数应用平移性质，注意平移是循环平移的（不要忽略单个周期之外的项）
——————————————————————————
离散傅里叶变换注意点：
1、变换后的重叠性！！！（因为离散傅里叶变换有周期性）",中等,离散傅里叶变换
