名称,重点公式,注意事项,状态,章节
2-5 保守力 成对的力 势能,"1、保守力只和始末位置有关，和过程无关：$\oint_L\vec{F}·d\vec{r}=0$
2、成对的力做功：$dA=\vec{F_{12}}d\vec{r_1}+\vec{F_{21}}d\vec{r_2}=-(\vec{F_{12}}+\vec{F_{21}})d\vec{r_1}+\vec{F_{21}}d\vec{r'}$即只和相对位移有关，和参考系无关
3、势能：$A=E_{P_a}-E_{P_b}=-\Delta{E_p}$，保守力做功等于势能的减少，差值有其绝对意义
（1）重力：$mgh$；（2）弹性势能$\frac{1}{2}kx^2$（3）引力势能$-G\frac{mm'}{r}$（无穷远为0）",,30%,普物力学
2-6 质点系的功能原理 机械能守恒定律,"1、质点系的动能定理：$A_e(外力做功)+A_i(内力做功)=\Delta E_k$
2、质点系的功能定理：$A_e+A_i=A_e+A_{ic}(保守力=-E_{p})+A_{id}(非保守力)=\Delta E_k \to A_e+A_{id}=\Delta E_{k}+\Delta E_{p}=\Delta E$
3、机械能守恒定律：只有保守力做功时，机械能总值不变
4、能量守恒定律：一个孤立系统经历任何变化时，系统所有的能量总和不变",,30%,普物力学
2-7 碰撞,"1、对心碰撞：能量守恒定律$m_1v_{10}+m_2v_{20}=m_1v_1+m_2v_2$
      恢复系数：$e=\frac{v_2-v_1}{v_{10}-v_{20}}$（由材料性质决定）
      得：$v_1=v_{10}-\frac{(1+e)m_2{(v_{10}-v_{20})}}{m_1+m_2},v_2=v_{20}+\frac{(1+e)m_1{(v_{10}-v_{20})}}{m_1+m_2}$
      $\to \Delta E=\frac{1}{2}(1+e^2)\frac{m_1m_2}{m_1+m_2}(v_{10}-v_{20})^2$
（1）完全非弹性碰撞：$e=0,v_1=v_2$，碰撞后以同一速度运动并不分开，有能量损失，当$\frac{m_1}{m_2}\uparrow\Delta E\downarrow$
（2）完全弹性碰撞：$e=1$，转移（质量相等）或反冲（质量差距悬殊），机械能完全没有损失。","①斜碰考虑作用力方向，静止的那个沿作用力方向前进
②在斜碰情况，恢复系数中代入的速度指沿碰撞接触线法线相对速度
③靠摩擦力达到共速得两个物体，一定是有一个先动才能带动另一个，所以不能直接当作瞬时运动状态变化来看（即碰撞），必须有一个过程得分开分析",30%,普物力学
2-8 对称性和守恒定律,1、空间均匀性、空间转动对称性、时间均匀性,,30%,普物力学
3-1 刚体模型及其运动,"1、刚体：无数个质点组成得特殊质点系，无论在多大的力得作用下，系统任意两个质元间距始终不变
2、平动：刚体内给定直线始终保持方向不变；转动：刚体的各个质元在运动中都绕同一直线作圆周运动，若转轴固定不动即定轴转动
3、自由度：确定一个物体在空间的位置所需要的独立坐标数目
PS.自由刚体6个自由度：平动3+转动3",,30%,普物力学
3-2 力矩 转动惯量 定轴转动定律,"1、总力矩等于几个力的力矩代数和！
2、定轴转动定律：总外力矩$M_z=(\sum\Delta m_ir_i^2)\alpha=J\alpha=J\frac{d\omega}{dt}$，推导由来为：$\vec{F}=m\vec{a}$,$\vec{a}=\vec{\alpha}\times\vec{r}+\vec{\omega}\times\vec{v}=\alpha r \vec{e_t}+\omega^2r\vec{e_n}=\vec{a_t}+\vec{a_n}$
3、转动惯量：$J=\sum{r_i^2\Delta m_i}\to$质量连续分布$J=\int r^2dm$
4、平行轴定理：$J=J_c+md^2$
5、常见刚体的转动惯量：（图例在P122）
（1）圆环：转轴通过中心与面垂直$J=mr^2$，通过直径$J=\frac{mr^2}{2}$
（2）薄圆盘：中心$J=\frac{mr^2}{2}$；圆筒：中心$J=\frac{m}{2}(r_1^2+r_2^2)$
（3）圆柱体：几何轴$J=\frac{mr^2}{2}$；通过中心与几何轴垂直$J=\frac{mr^2}{4}+\frac{ml^2}{12}$
（4）细棒：通过中心与棒垂直$J=\frac{ml^2}{12}$；通过端点与棒垂直$J=\frac{ml^2}{3}$
（5）球体：直径$J=\frac{2mr^2}{5}$；球壳：直径$J=\frac{2mr^2}{3}$","①注意根据$\vec{r}\times\vec{F}$右手定则判断力矩方向，正确判断符号
②转动惯量的求法：取和转轴等距离的狭长条质元",30%,普物力学
3-3 定轴转动中的功能关系,"1、力矩的功：$A=\int_{\theta_0}^{\theta}Md\theta$
2、刚体的转动动能：$E_k=\frac{1}{2}(\sum\Delta m_ir_i^2)=\frac{1}{2}J{\omega^2}$
3、定轴转动的动能定理：$A=\int_{\theta_0}^{\theta}Md\theta=\int_{\omega_1}^{\omega_2}J\omega d\omega=\frac{1}{2}J{\omega^2_2}-\frac{1}{2}J{\omega^2_1}$
4、重力势能：$E_p=mgh_c$",,30%,普物力学
3-4 定轴转动刚体的角动量定理和角动量守恒定律,"1、刚体的角动量：$L_z=J\omega$
2、角动量陈述的定轴转动定律：$M_z=\frac{dL_z}{dt}\to\int_{t_0}^{t}M_zdt=J\omega-(J\omega)_0$
3、若$M_z=0$，$L_z=J_1\omega_1+...+J_n\omega_n=C$
4、类比关系：$s\to\theta,$$v\to\omega,$$a\to\alpha,$$m\to J,$$F\to M$",,30%,普物力学
3-5 进动*,"1、进动：在绕本身对称轴转动的同时，其对称轴还将绕数值轴$Oz$回转
2、进动角速度$\omega_{p}=\frac{M}{J\omega sin\theta}$,也可写作$\vec{M}=\vec{\omega_p}\times\vec{L}$(其中$L$为物体自转角动量，$\omega_p$为进动角速度)",,30%,普物力学
3-6 理想流体模型 定常流动 伯努利方程*,"1、定常流动：尽管各处的流速不同，但各处的流速却不随时间而变化
2、伯努利方程：条件为定常流动，$p+\frac{1}{2}\rho v^2+\rho gh\to \frac{p}{\rho g}+\frac{v^2}{2g}+h=C$
3、连续性方程：$Q_1=Q_2 \to v_1S_1=v_2S_2$",,30%,普物力学
4-1 狭义相对论基本原理 洛伦兹变换,"1、狭义相对论定理:（1）相对性原理（2）光速不变原理
2、洛伦兹变换：对高低速都成立，$u$为相对速度，当$u\ll c$时为伽利略变换
$x'=\frac{x-ut}{\sqrt{1-\beta^2}},y'=y,z'=z,t'=\frac{t-\frac{ux}{c^2}}{\sqrt{1-\beta^2}},\beta=\frac{u}{c}$或
$x=\frac{x'+ut}{\sqrt{1-\beta^2}},y=y',z=z',t=\frac{t'+\frac{ux}{c^2}}{\sqrt{1-\beta^2}}$
PS.适用于一个事件在两个坐标系之间的变换",,30%,普物力学
4-2 相对论速度变换,"1、相对论速度变换：$v_x$指被观测物体相对静止系的速度，$u$指观测系相对于静止系的速度，$v_x'$指被观测物体相对于观测系的速度。
$v_x'=\frac{v_x-u}{1-\frac{u}{c^2}v_x},v_y'=\frac{v_y\sqrt{1-\beta^2}}{1-\frac{u}{c^2}v_x},v_z'=\frac{v_z\sqrt{1-\beta^2}}{1-\frac{u}{c^2}v_x}$，
逆变换：$v_x=\frac{v_x'+u}{1+\frac{u}{c^2}v_x'},v_y=\frac{v_y'\sqrt{1+\beta^2}}{1-\frac{u}{c^2}v_x'},v_z=\frac{v_z'\sqrt{1+\beta^2}}{1+\frac{u}{c^2}v_x'}$",①当习惯性拿伽利略变换算出速度大于光速时，一定要反应过来此时应该用相对论速度变换进行计算,30%,普物力学
4-3 狭义相对论的时空观,"1、同时的相对性：某个惯性系中同时发生的两个事件，在相对惯性系不一定。
$t_2'-t_1'=\frac{\frac{u}{c^2}(x_2-x_1)}{\sqrt{1-\beta^2}}$，只有两个事件发生在同一地点时，同时才有绝对意义
2、时间延缓：$t=\frac{t_0}{\sqrt{1-\beta^2}}$，其中$t_0$为固有时（静止参考系测得的时间间隔）
3、长度收缩：$l'=l_0\sqrt{1-\beta^2}$，其中$l_0$为固有长度
PS.钟慢效应用到两件事的同地条件！！其中$\beta=\frac{u}{c}$中的$u$指物体相对于非静止参考系的速度。",①判断固有时和固有长度按大小来,30%,普物力学
4-4 狭义相对论动力学基础,"1、相对论力学的基本方程：
运动质量：$m=\frac{m_0}{\sqrt{1-(\frac{v}{c})^2}}$，基本方程：$F=\frac{d}{dt}(\frac{m_0}{\sqrt{1-(\frac{v}{c})^2}}v)$
PS.光子的静止质量等于0，$m_\varphi=\frac{h\upsilon}{c^2}$
2、质量和能量的关系：$E=mc^2,E_0=m_0c^2$
3、相对论动量和能量的关系式：$E^2=c^2p^2+E_0^2=c^2p^2+m_0^2c^4$",,30%,普物力学
4-5 广义相对论简介,1、广义相对论的相对性原理：所有非惯性系和有万有引力存在的惯性系对于描述物理现象都是等价的。,,30%,普物力学
