题目,思路,属性,分类
矩阵-是否可逆的证明,"可逆的证明（充要条件）：
1、行列式法：矩阵的行列式不为0（等价于矩阵可逆）
2、秩法：矩阵为满秩
3、方程组法：齐次方程组只有零解；或者非齐次方程组只有唯一解（注意此时不包括齐次值全为0的情况）
4、反证法：设矩阵不可逆，即存在不为0的向量使得与矩阵相乘为0（齐次方程有非零解），解得系数后与现有条件矛盾，则可逆
5、定义法：存在$n$阶矩阵$B$，使得$AB=E$或者$BA=E$成立
6、特征值法：特征值全不为0
——————————————————————————
不可逆的证明：
1、行列式：行列式值为0，转换成了行列式的求解问题
2、秩法：矩阵为非满秩
3、方程组法：齐次方程组有非零解
4、特征值法：特征值有一个是0","基础, 思路",矩阵
矩阵-相关矩阵求解,"求解伴随矩阵：
1、计算逆矩阵（可逆的条件下）：利用逆矩阵与伴随矩阵的关系，计算逆矩阵
2、 计算代数余子式：利用代数余子式构造伴随矩阵，注意排列顺序
注意：伴随矩阵与原矩阵的代数余子式的对应关系
——————————————————————————
求解逆矩阵：
1、初等行变换法：常用（可以适当扩展一下行变换的原理）
2、分块矩阵：注意分块形式的利用
3、定义法：设未知量，求解（分块求解也可以）
4、利用伴随矩阵：参考伴随矩阵的求解
备注：初等矩阵的逆矩阵（$E_{i}^{-1}(k)=E_{i}(\frac 1 k)$；$E_{ij}^{-1}=E_{ij}$；$E_{ij}^{-1}(k)=E_{ij}(-k)$）
——————————————————————————
求解可交换矩阵：
1、设矩阵各个元素，求解
2、可交换定义：$AB=BA$","基础, 简单",矩阵
矩阵的行列初等变换,"1、初等矩阵左乘B时，相当于对$B$做相应的行初等变换（理解：如果初等变换是第$i$行加到第$j$行，将矩阵B做横向量切分，由该初等矩阵左乘时，当乘到第$j$行时，就是B的第$i$个行向量与第$j$个行向量相加并放到第$j$行，表现为$B$的第$i$行数据加到了第$j$行，与初等矩阵的行变换一致）
2、初等矩阵右乘B时，相当于对B做相应的列初等变换（理解：如果初等变换是第$i$列加到第j列，将矩阵B做列向量切分，由该初等矩阵右乘时，当乘到第j列时，就是B的第i个列向量与第j个列向量相加并放到第j列，表现为B的第i列数据加到了第j列，与初等矩阵的列变换一致）
备注：其实一个初等矩阵的行变换也可以认为是列变换，决定矩阵B是做行初等变换还是做列初等变换取决于初等矩阵的位置
备注：简记为前乘行变换，后乘列变换
注意：注意做初等变换的顺序，总是离B最近的变换先做，逆向求初等 变换时特别注意，列式求解",中等,矩阵
求解矩阵的n次方问题,"1、矩阵$A$可以分解成$\alpha\beta^T$的情况：常用于行或列有倍数关系的矩阵或者明确告知该关系的矩阵，$\beta^T\alpha$为具体的数值，则可以将数值$X$提取出来，做一次$\alpha\beta^T$的运算即可，注意此时数值$X$的指数应该是$n-1$次方而不是$n$次方
2、$(A+E)^n$的情况：利用二项式进行分解，一般只需要分解到A的某一个次方开始为0即可（可能是副对角线在内的其中一边全是0，这时高次方导致矩阵值为0；或者A是第一种情况（矩阵$A$可以分解成$\alpha\beta^T$的情况））；或者找到A的次方的规律
3、可以分块的矩阵：如果存在$\alpha,\alpha^T$的形式，分块之后，试乘就变成了第一种情况（矩阵$A$可以分解成$\alpha\beta^T$的情况），注意对偶次方和奇数次方的分类讨论，这时需要乘到四次方才能找得到规律；如果分成了对角线的方块，可以分块计算
4、试乘找规律：乘一项看看，与原矩阵有没有什么规律可循（通常是常数倍）
5、求解相似对角阵：矩阵$A$分解成$A=P^{-1}BP,A=PBP^{-1}$的情况，转换成了求$B$的$n$次方问题
注意：求得结果之后代入1次方的情况进行验证（前边系数的次方应该为$n-1$而不是$n$，错两次了）",中等,矩阵
矩阵的秩的计算,"矩阵的秩的计算：
0、求解矩阵的秩：对矩阵做初等行变换或者列变换均可（列秩和行秩相等）；
1、矩阵的乘积：$r(AB) \leqslant min\{r(A),r(B)\}$；$r(AB) \leqslant r(A)+r(B)$（积的秩可能（等号）会变小）（对于两个列向量，有$r\left(\boldsymbol{\beta} \boldsymbol{\alpha}^{\mathrm{T}}\right) \leqslant r(\boldsymbol{\beta})=1$，可以使用方程组来解释，或者向量的相关性判断）
2、矩阵的乘积且结果为$O$：$AB=O \rightarrow r(A)+r(B) \leqslant n$，其中n为中间阶数（$A_{mn}$与$B_{ns}$）（推导：将矩阵相乘转换为方程组的解的问题，$B$是$A$的解构成的矩阵，即可得到$r(B)\leqslant n - r(A) $，其中n是A的列，也是未知数的个数）
3、矩阵的乘积且其中一个可逆：$r(AB)=r(B)$，其中$A$可逆
4、矩阵的和差：$r(A)-r(B)\leqslant r(A\pm B) \leqslant r(A)+r(B)$（矩阵积或者和的秩可能（等号）会小于两个矩阵的秩和）
5、两个矩阵互为转置：$r(A^TA)= r(A)$（$A$不可逆也行：可以利用特征值来证明，$A^TA$与$A$的特征值为平方关系）（$A$不是方阵也成立，如果$A$不是方阵，那么可以得出$A^TA \ne E$，用秩的关系证明）
6、矩阵的组合：$max\{r(A),r(B)\}  \leqslant r(A,B) \leqslant r(A)+r(B)$
7、单个矩阵$A_{mn}$性质为$0 \leqslant A_{mn} \leqslant min\{ m,n \}$（矩阵的秩小于行数或者列数的最小值）
8、分块矩阵：其中包含两块$O$区域，则秩为另两块区域的秩的和
9、运算不变性：矩阵乘不为0的常系数或者转置之后的秩不变
——————————————————————————
伴随矩阵与原矩阵秩的关系：
0、对$n(n \geqslant 2)$阶矩阵$\boldsymbol{A}, r\left(\boldsymbol{A}^{*}\right)= \begin{cases}n, & r(\boldsymbol{A})=n, \\ 1, & r(\boldsymbol{A})=n-1, \\ 0, & r(\boldsymbol{A}) \leqslant n-2 .\end{cases}$
1、原矩阵秩为n：伴随矩阵秩为n
2、原矩阵秩为n-1：伴随矩阵秩为1（考虑特殊情况，矩阵的最后一列和最后一行是0，这时所有的代数余子式只有第$A_{nn}$的不是零，其它位置的代数余子式都包含最后一行和最后一列0，导致其它的代数余子式为0）
3、原矩阵秩为小于n-1：伴随矩阵秩为0（考虑特殊情况，矩阵的最后两列和最后两行是0，这时所有的代数余子式都是0，任意个位置的代数余子式都至少包含一行或者至少一列0，导致所有代数余子式为0）",中等,矩阵
矩阵方程求解,"求解基本步骤：
1、利用https://www.notion.so/e87b4bd4f421492dbb03bacce1bc3cec来凑成或用已知量表示出未知量的表达式（利用逆运算时判断式子可逆性）（常用于求解逆运算，而直接求逆不方便）
2、如果已知方程，需要求解方程中的矩阵每个元素的具体值，并且如果待求解的矩阵较小，可对矩阵元素设值求解
注意：在进行逆运算时，注意判断式子是否具有可逆性；当不可逆时，转换成求解非齐次线性方程组的问题（非齐次线性方程组具有特解和齐次解，最终的式子里具有未知量并需要对未知量进行说明）
注意：表示时要用题目中所给的已知量来表示
——————————————————————————
求解构造技巧：
1、由$A^2=A$凑$A+E$逆运算的形式，将$A^2=A$中右边的A挪到左边得到$A^2-A=O$，为了凑出$A+E$的形式，$A+E$需要与$A-2E$相乘才能得到待凑式子的一部分$A^2-A$和一个单位矩阵的和或差的形式，所以依照相乘后的结果来对原带待凑的式子$A^2-A=O$进行变换
2、如果给出了多个提示，需要想办法消去提示式子中的中间未知量（例如$A$的与$A^{-1}$相乘可以消去$A$）
3、由$A^2=A$和$AB+BA=O$（1式）推导$AB=BA$，1式分别左乘$A$和右乘$A$得到两个式子，就可以看出来了",中等,矩阵
矩阵可逆性证明,"证明的构造方法：
1、利用已知条件构建（利用可逆的定义）方程（平方）：若$AB=E$，则$A,B$互为逆矩阵
2、已知式子的提因式分析：提取因式辅助
3、对现有的式子进行加项或者减项，构造可分解因式的形式",中等,矩阵
向量空间的定义,"1、维数：维数等于向量组的秩
2、基与基坐标：这两个概念是绑定的，基坐标是相对于基来说的；基是满秩的
3、自然基：
4、解空间：解空间维数与矩阵秩的关系（$n-r(\boldsymbol{A})$）
5、极大线性无关组：向量组中的一组向量线性无关，再添加任一个向量后线性相关
6、正交向量组：两两正交
7、正交规范向量组：两两正交且是单位向量
8、规范正交基（标准正交基）：任意的不同两个基的内积为0，相同的基内积为1；变换不变性：一组规范正交基经过正交矩阵变换之后还是一组规范正交基（变换矩阵为正交是充要条件）（可以用正交矩阵定义式证明）
9、秩：定义为极大线性无关组中向量的个数",基础,向量
正交矩阵,"正交矩阵相关定义：
1、定义：$AA^T=A^TA=E$
2、推论：$A^T=A^{-1}$，（根据可逆的定义推导）
3、推论：$A$的行或者列向量是正交规范向量组
4、推论：行列式的值$|A|=1$或者$|A|=-1$（证明：对定义取行列式即可）
——————————————————————————
正交矩阵的证明：
1、利用定义：$AA^T=A^TA=E$
2、",中等,向量
由向量组求解过度矩阵,"1、由$[\alpha_1,\alpha_2,\cdots,\alpha_n]$向$[\beta_1,\beta_2,\cdots,\beta_n]$过渡（列变换）：过渡方程为：$[\alpha_1,\alpha_2,\cdots,\alpha_n]C=[\beta_1,\beta_2,\cdots,\beta_n]$，其中$C$为过渡矩阵（注意：过渡的方向）
2、求解过渡矩阵：利用过渡方程转换你为求逆运算（在$[\alpha_1,\alpha_2,\cdots,\alpha_n]$为可逆矩阵的条件下），即$C=[\alpha_1,\alpha_2,\cdots,\alpha_n]^{-1}[\beta_1,\beta_2,\cdots,\beta_n]$
3、坐标的过渡矩阵：$[\alpha_1,\alpha_2,\cdots,\alpha_n]$下坐标为$[x_1,x_2,\cdots,x_n]$，$[\beta_1,\beta_2,\cdots,\beta_n]$下坐标为$[y_1,y_2,\cdots,y_n]$，$C$为过渡矩阵，则$x=Cy$（证明：1中的过度方程两边同时右乘$y$，与$[\alpha_1,\alpha_2,\cdots,\alpha_n][x_1,x_2,\cdots,x_n]^T=[\beta_1,\beta_2,\cdots,\beta_n][y_1,y_2,\cdots,y_n]^T$对比）",中等,向量
矩阵等价与向量组等价,"矩阵等价与向量组等价区别：
1、向量组等价：向量组等价可以推出向量组的秩相等；向量组的秩相等无法推出向量组等价（两个向量组的秩和组合后的向量组的秩三者相等可以得到向量组等价）
2、矩阵等价：矩阵等价与秩相等是可以互相推出的（充要条件：两个矩阵的秩相等），前提是矩阵为同型矩阵
备注：原因是矩阵的等价变换是两个维度的；向量组的变换只有一维的组合
——————————————————————————
矩阵的向量组等价推论：
1、矩阵$A、B$的列向量组等价：存在$P$使得$AP=B$，存在$Q$使得$BQ=A$，进一步可以推知$APQ=A$，但这时不可以认为$PQ=E$
2、矩阵$A、B$的行向量组等价：存在$P$使得$PA=B$，存在$Q$使得$QB=A$，此时有$Ax=0$时，$PAx=0 \rightarrow Bx=0$；进一步可以推知$PQB=B$，但这时不可以认为$PQ=E$
备注：如果$Ax=0$与$Bx=0$同解，此时$A、B$的行向量组等价（直观上来说，齐次方程组的线性组合之后的方程的解与方程组的解一致）（推导路径是什么样的？：通过AB的竖式等于AO的竖式的解，所以B可以由A的线性组合消掉）
——————————————————————————
向量组等价的判定：
1、秩：两个向量组的秩和组合后的向量组的秩三者相等
2、线性表出：构建两个向量组的矩阵，做初等行变换（相当于可逆变换），判断两个向量组是否能互相线性表出（非齐次方程求解问题）
3、秩与线性表示：两个向量组的秩相等，并且其中一个向量组可以由另一个表示 
4、向量组转换方程：证明转换系数矩阵可逆（满秩：转换系数矩阵的秩的上限（可以由矩阵的大小决定）和下限$r(AB) \le r(A)$），即可得到可以互相转换","中等, 疑问",向量
向量组相关性,"已知线性相关或者线性无关求解未知参数：
1、构建齐次方程：转换为考虑齐次方程是否具有非零解
——————————————————————————
同一组向量的相关性判断：
1、根据向量组值：当向量组为方阵时，向量组的行列式值不为0（或者说非满秩n阶矩阵）则线性无关
2、构建齐次方程：组成的齐次方程只有零解，则向量组线性无关；否则线性相关
——————————————————————————
两组向量的相关性的判断：
1、少表多：向量组个数多的能够由向量组少的线性表出，则向量组个多的必线性相关（因为多的肯定有重复的）
2、多表少：如果向量组1能够由向量组2线性表出，且向量组1线性无关 ⇒ 则向量组2的向量个数大于等于向量组1的向量个数（相当于少的向量组是从多的向量组里面抽取出来的线性无关向量，有可能抽不完， 再抽可能抽到相对于少的向量组来说线性无关的或者线性相关的向量）
——————————————————————————
判断线性无关的向量构成的新的向量组是否线性相关：
1、定义证明线性相关（观察法）：挑选一个线性无关向量（在新向量组中只出现在两个新向量中组合），先确定这两个向量的系数，逐步地确定其它的系数
2、定义证明线性无关（反证法）：假设存在一组为0的系数使得向量组为0，然后证明系数只能是0（转换成线性无关向量组成的方程，构建系数为0的方程，证明齐次方程组只有零解）
3、构建过渡矩阵：构建向量的过渡矩阵，如果过度矩阵行列式不为0，则就是线性无关的；反之线性相关
——————————————————————————
将某个向量由已知向量线性表出：
1、构建非齐次方程组：转换为非齐次方程组的求解问题（注意利用秩与解的关系，系数矩阵和增广矩阵的秩相等时非齐次方程有解，即表出）",中等,向量
求解矩阵的极大线性无关组,"1、定义：向量组中的一组向量线性无关，再添加任一个向量后线性相关
2、求解：做初等行变换，求出阶梯矩阵
备注：只有零向量的向量组没有极大线性无关组",中等,向量
向量空间的基,"不同基下有相同坐标的向量：
1、设基坐标，联立矩阵方程求解（联立求解的条件是基组成的矩阵是可逆的；联立的中心是不同基下的该向量）
注意：求向量时，求出向量在基下的坐标之后需要用基将向量表示出来
——————————————————————————
证明向量组是向量空间的一组基：
1、由一组基（向量）判断另一组基（向量）（过渡来的）：过渡矩阵满秩（过渡矩阵不为0）
2、只有一组向量：行列式满秩，向量组线性无关（证明向量组线性无关即可，而且向量组组成方阵，即秩等于向量组的向量维度）",中等,向量
