题目,思路,章节
向量相关,"基本概念：
1、向量：
2、向量的模：
3、向量的坐标及坐标表示：
4、零向量：
5、单位向量：$a^{\circ}=\frac{a}{|a|}=\left\{\frac{a_{x}}{\sqrt{a_{x}^{2}+a_{y}^{2}+a_{z}^{2}}}, \frac{a_{y}}{\sqrt{a_{x}^{2}+a_{y}^{2}+a_{z}^{2}}}, \frac{a_{z}}{\sqrt{a_{x}^{2}+a_{y}^{2}+a_{z}^{2}}}\right\}$（向量的单位化）
6、两向量的夹角：夹角的范围是$[0,\pi]$
7、向量的方向余弦：向量与$x,y,z$轴的夹角为$\alpha, \beta, \gamma$，称$\cos \alpha, \cos \beta, \cos \gamma$为$a$的方向余弦，且$a^{\circ}=\{\cos \alpha, \cos \beta, \cos \gamma\}, \cos ^{2} \alpha+\cos ^{2} \beta+\cos ^{2} \gamma=1$（方向余弦是与坐标轴的夹角）（方向余弦是针对单个向量来说的）
——————————————————————————
向量的运算：
1、加减和数乘：
2、数量积（点积、内积）：$\boldsymbol{a} \cdot \boldsymbol{b}=|\boldsymbol{a}||\boldsymbol{b}| \cos \theta$，其中$\theta$为$\boldsymbol{a}$与$\boldsymbol{b}$的夹角
3、向量积（叉积、外积）：$\boldsymbol{a} \times \boldsymbol{b}=\left|\begin{array}{ccc}\boldsymbol{i} & \boldsymbol{j} & \boldsymbol{k} \\a_{x} & a_{y} & a_{z} \\b_{x} & b_{y} & b_{z}\end{array}\right|$，模$|\boldsymbol{c}|=|\boldsymbol{a}||\boldsymbol{b}| \sin \theta$，其中$\theta$为$\boldsymbol{a}$与$\boldsymbol{b}$的夹角，方向由右手规则从$\boldsymbol{a}$转向$\boldsymbol{b}$来确定，垂直于$\boldsymbol{a}$与$\boldsymbol{b}$所决定的平面；向量积具有分配律；$|\boldsymbol{c}|=|\boldsymbol{a}||\boldsymbol{b}| \sin \theta$也是以向量$a,b$为边的平行四边形的面积
4、混合积：$(a b c)=\left|\begin{array}{lll}a_{x} & a_{y} & a_{z} \\b_{x} & b_{y} & b_{z} \\c_{x} & c_{y} & c_{z}\end{array}\right|$；具有轮换对称性（行列式的行交换性）
——————————————————————————
向量运算的应用：
1、求解向量的模：
2、向量与向量的夹角：
3、平行四边形面积：
4、平行六面体体积：混合积的模
5、向量之间垂直、平行、三向量共面：三向量混合积的值为0（共面）
——————————————————————————
易错点：（易错）
1、同时垂直于两个非平行的单位向量有两种情况（体现在方向上）",向量代数与空间几何
反常积分计算,"对称区间上的反常积分：
1、奇函数的反常积分在对称区间上为0（无穷或者无界类型的反常积分）
2、偶函数的反常积分在对称区间可以转换成两倍的单边积分（无穷或者无界类型的反常积分）
备注：上述求解的前提是反常积分收敛，当反常积分发散时，不能认为被积函数是奇函数或者偶函数
——————————————————————————
反常积分的计算：
1、找反常点：如果是单边的直接计算；如果是双边的或者反常点在中间的分成两个积分式计算
2、计算：计算过程中用极限表示积分式
备注：反常积分可以像积分一样做变量替换，有时做过变量替换之后，反常积分变成定积分，就不需要按照反常积分的形式计算了
——————————————————————————
两个重要的反常积分：
1、正态分布：$\int_{-\infty}^{+\infty} \mathrm{e}^{-x^{2}} \mathrm{~d} x=2 \int_{0}^{+\infty} \mathrm{e}^{-x^{2}} \mathrm{~d} x=\sqrt{\pi}$
2、幂与对数：设$a$与$p$都是常数,且$a>1$则$\int_{a}^{+\infty} \frac{\mathrm{d} x}{x \ln ^{p} x} \begin{cases}\text { 收敛, } & \text { 当 } p>1 \\ \text { 发散, } & \text { 当 } p \leqslant 1\end{cases}$（直接积分即可证明）",一元积分
定积分与原函数,"存在性：
1、原函数存在定理：被积分函数存在原函数 ⇒ 被积分函数连续；被积分函数有跳跃间断点，则原函数一定不存在
2、定积分的存在定理：被积分函数连续或者仅有有限个间断点
——————————————————————————
奇偶函数、周期函数的原函数性质：
1、由原函数推断$f(x)$的性质，需要用到微分学的性质
2、由$f(x)$的奇偶性、周期性来推断$F(x)$的性质，需要用到变上限函数$\int_{-\infty}^{x}f(t)dt$来表示$f(x)$的某一个原函数（$F(x)=F(0)+\int_{0}^{x} f(t) \mathrm{d} t$，这种形式讨论奇偶性很方便），用它来讨论原函数的性质（因为不定积分只能用来计算，并不能用来讨论性质）",一元积分
求分段复合函数,1、分段过渡：写出中间变量的值域范围，按照外层函数的定义域范围，分段过渡到外层函数的自变量变化范围（定义域范围）,函数极限连续
二重积分不等式,"二重积分不等式处理：
1、积分的乘积转换成二重积分
2、幂级数展开对被积分函数进行放缩
3、柯西-施瓦兹积分不等式（积分乘积与二重积分的关系）
——————————————————————————
二重积分的比较：
1、比较被积分函数在同一个积分区域上的大小（比较内部函数大小（指定定义域函数比较））
2、比较被积分函数在不同积分区域上的大小（分割区域，比较内部函数大小（指定同一个定义域函数比较），不同函数在额外的定义域上的正负性啥的）
注意：利用积分区域的对称型和奇偶性去掉无关的被积分函数
——————————————————————————",多元积分
零点问题的证明（等式的证明）,"至多有几个零点的证明：
当函数的各阶导数存在时（原函数的零点存在性）
1、如果$f'(x)$没有零点，则$f(x)$至多有$1$个零点
2、如果$f'(x)$至多有1个零点，则$f(x)$至多有$2$个零点
3、如果$f'(x)$至多有k个零点，则$f(x)$至多有$k+1$个零点
4、如果$f''(x)$没有零点，则f'(x)至多有$1$个零点，$f(x)$至多有$2$个零点，$…$，依此类推
注意：该规则的方向与罗尔定理相反，规定了导数的原函数至多有多少零点（导函数正负切换与原函数跨y轴次数的关系。导函数正负切换不一定会导致原函数跨y轴（出现零点），但是如果导函数正负切换全导致了原函数跨$y$轴变化，那么这就是原函数零点最多的情况）
——————————————————————————
零点存在性证明：
1、连续函数的介值定理：连续函数在区间上有最大值M和最小值m，则在区间上必存在一点使得函数值在最大值和最小值之间（闭区间）（注意：如果题目未设定函数连续，则不能用连续函数的介值定理来说明有零点或者存在某一点）
2、连续函数的零点定理：如果函数的两端的值相乘小于0，则在开区间上至少存在一点，使得函数值为0
3、利用罗尔定理（导函数的零点存在性）：以下设所提到的导数存在，则有结论：如果$f(x)$有$k(k≥2)$个零点，则$f'(x)$至少有$(k-1)$个零点；$…$，$f^{(k-1)}(x)$至少有$1$个零点（求导之后，会减少零点的个数）（该规则规定了求导之后至少应该有多少个零点）（跨y轴的零点与增减性（导函数正负切换的次数）的关系，原函数零点的出现，使得两个零点之间必有一次导函数的正负切换（即导函数的零点），由于两个零点之间的导函数切换会出现大于一次的情况，所以这就是导函数零点最少的情况）
4、两种不同函数形式的存在性证明等式：想到用柯西中值定理证明；需要找到其中一个函数的导数形式
备注：罗尔定理也可以看作是导函数的零点定理，构造积分式，积分两端的值相等，即存在导函数为0，即被积分函数存在为0的点，即存在零点
——————————————————————————
零点问题证明细节：
1、当需要证明积分式中被积分函数的零点：用罗尔定理，证明积分两个端点值相同，则存在导数即被积分函数存在零点
2、有极大值大于0的曲线，判断与$x$轴的交点，需要判断两边延伸部分的正负性；极小值同理
3、零点的个数问题，可以用至多存在几个零点和至少存在几个零点进行框定（夹逼）得到
4、利用奇偶性：利用奇偶性，只讨论定义域的一边！！！简化计算
5、证明连续函数内有最小值点（也就是极值点）：如果函数在一点处取得极值，并且该点导数存在，则导数一定为0（可导点极值必要条件）
6、两个函数最大值相等，中间必有一个零点，构造相减的式子，用零点定理证明
7、如果讨论整个范围上的零点，先根据函数的大概的正负性，判定零点的位置，然后根据导数，讨论别的区间的增减性，将零点的范围缩小
注意：如果题目未设定函数连续，则不能用连续函数的介值定理来说明有零点或者存在某一点
——————————————————————————",一元微分
泰勒定理,"1、拉格朗日余项泰勒展开式：$f(x, y)=f\left(x_{0}, y_{0}\right)+f_{x}^{\prime}\left(x_{0}, y_{0}\right)\left(x-x_{0}\right)+f_{y}^{\prime}\left(x_{0}, y_{0}\right)\left(y-y_{0}\right)+R_{1}$，其中余项$R_{1}=\frac{1}{2 !}[\frac{\partial^{2} f\left(P_{1}\right)}{\partial x^{2}}\left(x-x_{0}\right)^{2}+2 \frac{\partial^{2} f\left(P_{1}\right)}{\partial x \partial y}\left(x-x_{0}\right)\left(y-y_{0}\right)+\frac{\partial^{2} f\left(P_{1}\right)}{\partial y^{2}}\left(y-y_{0}\right)^{2}]$，点$P_{1}$为$\left(x_{0}+\theta\left(x-x_{0}\right), y_{0}+\theta\left(y-y_{0}\right)\right)$
2、佩亚诺型余 项的二阶泰勒公式展开式：$f(x, y)=f\left(x_{0}, y_{0}\right)+f_{x}^{\prime}\left(x_{0}, y_{0}\right)\left(x-x_{0}\right)+f_{y}^{\prime}\left(x_{0}, y_{0}\right)\left(y-y_{0}\right)+\frac{1}{2 !}[\frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial x^{2}}\left(x-x_{0}\right)^{2}+2 \frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial x \partial y}\left(x-x_{0}\right)\left(y-y_{0}\right)+\frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial y^{2}}\left(y-y_{0}\right)^{2}]+o\left(\rho^{2}\right)$，其中$\rho=\sqrt{\left(x-x_{0}\right)^{2}+\left(y-y_{0}\right)^{2}}$",多元微分
导数的注意点,"概念区分问题：
1、区分点可导与邻域可导：高一阶的导数在某个点存在，说明低一阶的导数在该点邻域连续；当没有说函数的（去心）邻域可导时，不能对函数求导数，也就是不能对该函数使用洛必达法则，求解极限只能凑成导数的定义形式
2、点可导可推出邻域连续：已知某一点可导可以获得的隐含条件，包括函数在该点的邻域内连续（左右极限相等并等于该点的值），函数在该点的左右导数相等
3、点处连续不一定可导：尖锐的点，左右导数不相等
4、点处可导但是在邻域不一定可导：在点处可导但是邻域的导数在该点的极限不一定存在，因为邻域的导数可能会出现振荡的成分，导致导数不存在（即点处可导，邻域导数在点处的极限不一定等于点处的导数（振荡起来了））（一个点处的导数不可以推导出邻域的单调性，但是可以根据极限的保号性（导数的定义与极限的定义）推出邻域的值与导数点值的大小关系）
5、两个函数和的导数存在推不出两个函数的导数分别都存在：函数相加会损失掉一部分信息（损失掉无穷或者振荡的部分）
6、极值点：是去心邻域内最大的点，所以即使函数不连续也可以，只要是最大的就行了
7、一元函数点处可导可以推知点处可微，且微分和导数相关联：$dy=f^{\prime}(x)dx$
8、大题规范：描述参数方程的单调性和拐点时，$t$的范围和对应$x$的范围一起描述
9、反函数存在的条件：函数严格单调
10、单调函数在闭区间内是没有极值点的，因为不存在在去心邻域内的最大点
——————————————————————————
求导容易出现的问题：
1、求导未求尽：对于$arctan(f(x))$之类的函数求导忘记对$f(x)$求导；对于$(1+f(x))^{a}$之类的函数求导忘记对$f(x)$求导；对于$\sqrt{(1+f(x))}$之类的函数求导忘记对$f(x)$求导（与幂形式是一样的，可以转换）（不要忘记指数部分带来的阶乘）
2、幂指函数求导：转换成指数函数求导，不要忘记指数项，求导要求完整",一元微分
隐函数的偏导数,"1、由一个方程确定的隐函数（一元函数）求导：设$F(x, y)$有连续一阶偏导数，且$F_{y}^{\prime} \neq 0$ ，则由方程$F(x, y)=0$确定的函数$y=y(x)$可导，且$\frac{\mathrm{d} y}{\mathrm{~d} x}=-\frac{F_{x}^{\prime}}{F_{y}^{\prime}}$
2、由一个方程确定的隐函数（二元函数）求导：设$F(x, y, z)$有连续一阶偏导数，且$F_{z}^{\prime} \neq 0, z=z(x, y)$由方程$F(x, y, z)=0$所确定，则$\frac{\partial z}{\partial x}=-\frac{F_{x}^{\prime}}{F_{z}^{\prime}}, \quad \frac{\partial z}{\partial y}=-\frac{F_{y}^{\prime}}{F_{z}^{\prime}}$
3、由方程组确定的隐函数（一元函数）求导：设$u=u(x), v=v(x)$由方程组$\left\{\begin{array}{l}F(x, u, v)=0,  \\ G(x, u, v)=0\end{array}\right. $所确定，$\frac{\mathrm{d} u}{\mathrm{~d} x}$和$\frac{\mathrm{d} v}{\mathrm{~d} x}$, 可通过原方程组两端对$x$求导得到，即$\left\{\begin{array}{l} F_{x}^{\prime}+F_{u}^{\prime} \frac{\mathrm{d} u}{\mathrm{~d} x}+F_{v}^{\prime} \frac{\mathrm{d} v}{\mathrm{~d} x}=0 \\ G_{x}^{\prime}+G_{u}^{\prime} \frac{\mathrm{d} u}{\mathrm{~d} x}+G_{v}^{\prime} \frac{\mathrm{d} v}{\mathrm{~d} x}=0 \end{array}\right.$，从中解出$\frac{\mathrm{d} u}{\mathrm{~d} x}$和$\frac{\mathrm{d} v}{\mathrm{~d} x}$，这里假设由形式解出的$\frac{\mathrm{d} u}{\mathrm{~d} x}$与$\frac{\mathrm{d} v}{\mathrm{~d} x}$中的分母不为零（对$x$求偏导得方程组）
4、由方程组确定的隐函数（二元函数）求导：设$u=u(x, y), v=v(x, y)$由方程组$\left\{\begin{array}{l}F(x, y, u, v)=0, \\ G(x, y, u, v)=0\end{array}\right.$所确定，若要求$\frac{\partial u}{\partial x}$和$\frac{\partial v}{\partial x}$，可先对 原方程组两端对$x$求偏导得到, 即$\left\{\begin{array}{l} F_{x}^{\prime}+F_{u}^{\prime} \frac{\partial u}{\partial x}+F_{v}^{\prime} \frac{\partial v}{\partial x}=0 \\ G_{x}^{\prime}+G_{u}^{\prime} \frac{\partial u}{\partial x}+G_{v}^{\prime} \frac{\partial v}{\partial x}=0 \end{array}\right.$，然后从中解出$\frac{\partial u}{\partial x}$和$\frac{\partial v}{\partial x}$；同理可求得$\frac{\partial u}{\partial y}$和$\frac{\partial v}{\partial y}$，这里假设由形式解出的式子中的分母不为零（对$x$求偏导得方程组求解关于$x$的偏导；对$y$求偏导得方程组求解关于$y$的偏导）
注意：在求解$F^{\prime}_x$时，对$x$求导过程中，即使遇到$z$，也不求$z^{\prime}_x$（不深入求导），仅求导与$x$相关的变量，其它视为常数；求解$F^{\prime}_y$和$F^{\prime}_z$时也是如此，非求导变量均为常数，即使存在$z=z(x, y)$
备注：将函数关系代入可以得到明确的变量关系（循环迭代式关系函数：$z$是$x,y$的函数，$y$是$x,z$的函数，可以得到$z$是$x$的一元函数）
备注：隐函数求导的常用的三种方法，利用隐函数求导公式；对方程两端求导，解出偏导数；利用微分形式不变性，方程两端求微分",多元微分
极值与条件极值,"二元极值的判断条件：（充分条件）
设函数$z=f(x, y)$在点$\left(x_{0}, y_{0}\right)$的某邻域内有连续的二阶偏导数，且$f_{x}^{\prime}\left(x_{0}, y_{0}\right)=0, f_{y}^{\prime}\left(x_{0}, y_{0}\right)=0$。令$f_{x x}^{\prime \prime}\left(x_{0}, y_{0}\right)=A, f_{x y}^{\prime \prime}\left(x_{0}, y_{0}\right)=B, f_{y y}^{\prime \prime}\left(x_{0}, y_{0}\right)=C$，则
(1)$A C-B^{2}>0$时，$f(x, y)$在点$\left(x_{0}, y_{0}\right)$取极值,且$\left\{\begin{array}{l}\text { 当 } A>0 \text { 时取极小值, } \\ \text { 当 } A<0 \text { 时取极大值. }\end{array}\right.$
(2)$A C-B^{2}<0$时，$f(x, y)$在点$\left(x_{0}, y_{0}\right)$无极值
(3)$A C-B^{2}=0$时，不能确定$f(x, y)$在点$\left(x_{0}, y_{0}\right)$是否有极值，还需进一步讨论（一般用 极值定义)
——————————————————————————
二元极值的判断步骤：（前提：二元函数$z=f(x, y)$有连续二阶偏导数）
1、令$f_{x}^{\prime}(x, y)=0, f_{y}^{\prime}(x, y)=0$同时成立，求得所有驻点
2、对每个驻点求出二阶偏导数$A=f_{x x}^{\prime \prime}\left(x_{0}, y_{0}\right), B=f_{x y}^{\prime \prime}\left(x_{0}, y_{0}\right), C=f_{y y}^{\prime \prime}\left(x_{0}, y_{0}\right)$
3、利用极值充分条件,通过$A C-B^{2}$的正负对驻点$\left(x_{0}, y_{0}\right)$作判定
——————————————————————————
二元极值特殊的判断方法：
1、代入特殊路径（反证法/定义法）：如果在某个点附近代入曲线（$y=x,y=-x$）后，函数值出现了可正可负的情况，则函数不存在极值（常用于极限表示式中）
备注：在求某一点的二阶导时，对于无关的变量可以提前代入化简
——————————————————————————
条件极值求解-化为无条件极值：
1、若从条件$\varphi(x, y)=0$中可解出$y=y(x)$或$x=x(y)$
2、代人$z=f(x, y)$化简成无条件极值问题
注意：化为无条件极值适合单条件的情况
——————————————————————————
条件极值求解-拉格朗日乘数法：（多个条件的也是类似的）
1、函数$f(x, y)$在条件$\varphi(x, y)=0$下的极值的必要条件，先构造拉格朗日函数$F(x, y, \lambda)=f(x, y)+\lambda \varphi(x, y)$
2、解方程组$\left\{\begin{array}{l} \frac{\partial F}{\partial x}=\frac{\partial f}{\partial x}+\lambda \frac{\partial \varphi}{\partial x}=0 \\ \frac{\partial F}{\partial y}=\frac{\partial f}{\partial y}+\lambda \frac{\partial \varphi}{\partial y}=0 \\ \frac{\partial F}{\partial \lambda}=\varphi(x, y)=0 \end{array}\right.$
3、所有满足此方程组的解$(x, y, \lambda)$中$(x, y)$是函数$f(x, y)$在条件$\varphi(x, y)=0$下可能的极值点
注意：求解时注意利用方程中变量的对称性（不要过度依赖因为容易漏解，有时间还是按照标准步骤求解，或者根据不等式验证结果或者根据几何进行预分析）
注意：使用拉格朗日乘数法时对原函数进行简化（相乘的转化为对数和，带根号的可以去掉根号）
备注：对于三元函数的条件极值的求解类似
备注：对于实际条件极值的问题求解，注意区分条件和函数（函数可能需要根据实际情况进行构造，或者做一些问题转化（转化为距离问题等））
备注：对于不等式问题，从不等式中拆出来条件函数（设条件函数为定值）和待求函数，在条件函数为定值的情况下求解待求函数的范围
——————————————————————————",多元微分
二元函数的极限和连续,"定义与性质：
1、重极限的定义：定义式为$0<\sqrt{\left(x-x_{0}\right)^{2}+\left(y-y_{0}\right)^{2}}<\delta$（注意：二元函数的重极限是指定义域$D$中的$P(x, y)$以任何方式趋于点$P_{0}\left(x_{0}, y_{0}\right)$时，函数$f(x, y)$都无限趋近于同一常数$A$。换言之，若点$P(x, y)$沿两种不同路径趋向于点$P_{0}\left(x_{0}, y_{0}\right)$时，$f(x, y)$趋于不同常数，或点$P(x, y)$沿某一路径趋于$P_{0}\left(x_{0}, y_{0}\right)$时，$f(x, y)$的极限不存在，则重极限$\lim_{x \rightarrow x_{0},y \rightarrow y_{0}} f(x, y)$不存在。这是证明重极限不存在常用的有效方法）（重极限的极限运算(有理运算,复合运算)和性质(保号性, 夹逼性, 局部有界性,极限 与无穷小的关系）与一元函数完全类似）
2、二元函数连续的概念：设函数$f(x, y)$在开区域(或闭区域)$D$内有定义，$P_{0}\left(x_{0}, y_{0}\right)$是$D$的内点或边界点,且$P_{0} \in D$，如果$\lim_{x \rightarrow x_{0},y \rightarrow y_{0}} f(x, y)$，则称函数$f(x, y)$在点$P_{0}\left(x_{0}, y_{0}\right)$连续
3、连续函数的性质：
3.1、连续函数的和、差、积、商（分母不为零）均是连续函数，连续函数的复合函数仍为连续函数（连续函数的组合）
3.2、在有界闭区域$D$上连续的函数，在该区域$D$上有最大值和小值（最大最小值定理）
3.3、在有界闭区域$D$上连续的函数，可取到它在该区域上的最小值与最大值之间的任何值（介值定理）
3.4、一切多元初等函数在其定义区域内处处连续，这里的定义区域是指包含在定义域内的区域或闭区域
证明二重极限不存在的方法：
1、取不同的趋近路径时极限不相等
2、某一条趋近路径的极限不存在
——————————————————————————
证明二重极限不存在-找趋近路径：
1、分子分母齐次：令$y=kx$
2、分子分母化简后齐次：例如若$y$是高次方的，令$y_1=y^2$化简为齐次
3、$\frac{xy}{x+y}$：令$y=-x+x^3$，得到趋近于0的结果是无穷，即该路径不存在
——————————————————————————
求解二重极限：
1、利用极限的性质（如四则运算法则，夹逼原理（放缩）)
2、消去分母中极限为零的因子（通常采用有理化，等价无穷小代换等)
3、转化为一元函数极限，利用一元函数求极限方法求解（化一元函数是将可微的一部分替换为单一变量，如$t=x^2+y^2$）
4、利用无穷小量与有界变量（利用不等式判断有界）之积为无穷小量
备注：对于多元极限，可以将式子分离（分解）成有界和无穷小相乘的两个部分",多元微分
计算细节问题,"1、$arcsin(sin\theta)=\theta$时，$\theta$的范围必须是$[-\pi/2,\pi/2]$，否则需要利用$sin(\pi-\theta)=sin(\theta)$或者其它三角恒等式对内层函数进行预变换（变换的原因是内层的$sin\theta$会把值限制在$[-1,1]$的范围之内，也就抹除掉了$\theta$超出$[-\pi/2,\pi/2]$的特性）（反三角函数图像就是$x,y$轴交换之后的图像，三角函数图像关于$y=x$对称，注意与三角函数倒数的图像区别）
2、${(x^2)}^{\frac{3}{2}}=|x|^{3}$：变量先平方再开方之后，负值特性就失去了
3、$\sqrt{sin^2x}=|sinx|$：三角函数求根号值时加绝对值
4、变量并入根号：$xy=\sqrt{x^2+y^2}$可得到$y=\sqrt{1+\frac{y^2}{x^2}}(x > 0)$和$y=-\sqrt{1+\frac{y^2}{x^2}}(x < 0)$两种情况
5、$\int_{0}^{1} e^x dx$的计算，不要漏下限的计算结果$-1$，$e^0=1$！！！
6、$arctan\ x + arctan\ \frac{1}{x}=\frac{\pi}{2}$，反三角函数的值的特性
7、反三角函数的合并公式：$arctan\ a - arctan\ b=arctan\ \frac{a-b}{1+ab}$（通过$tan(a-b)$的展开式进行推导）
——————————————————————————",微积分通识
偏导数与全微分,"二元函数的偏导数与全微分：
1、偏导数的定义： 设函数$z=f(x, y)$在点$\left(x_{0}, y_{0}\right)$的某一邻域内有定义，如果$\lim_{\Delta x \rightarrow 0} \frac{f\left(x{0}+\Delta x, y_{0}\right)-f\left(x_{0}, y_{0}\right)}{\Delta x}$存在，则称此极限为函数$z=f(x, y)$在点$\left(x_{0}, y_{0}\right)$处对$x$的偏导数, 记为$f_{x}^{\prime}\left(x_{0}, y_{0}\right)$；类似地可定义$f_{y}^{\prime}\left(x_{0}, y_{0}\right)=\lim_{\Delta y \rightarrow 0} \frac{f\left(x{0}, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)}{\Delta y}$（偏导数本质上是一元函数的导数，事实上偏导数$f_{x}^{\prime}\left(x_{0}, y_{0}\right)$就是一元函数$\varphi(x)=f\left(x, y_{0}\right)$在$x=x_{0}$处的导数，即$f_{x}^{\prime}\left(x_{0}, y_{0}\right)=\varphi^{\prime}\left(x_{0}\right)=\left.\frac{\mathrm{d}}{\mathrm{d} x} f\left(x, y_{0}\right)\right|_{x=x_{0}}$，而偏导数$f_{y}^{\prime}\left(x_{0}, y_{0}\right)$也是类似的）（从几何上看就是曲面与$x=x_0,y=y_0$平面的交线在交线方向上的导数）
2、全微分的概念：函数$z=f(x, y)$在点$(x, y)$处的全增量$\Delta z=f(x+\Delta x, y+\Delta y)-f(x, y)$可以表示为$\Delta z=A \Delta x+B \Delta y+o(\rho)$，其中$A,B$不依赖于$\Delta x, \Delta y$，而仅与$x, y$有关，$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$，则称函数$z=f(x, y)$在点$(x, y)$处可微，微分记为$\mathrm{d} z=A \Delta x+B \Delta y$
3、可微的必要条件：如果函数$z=f(x, y)$在点$(x, y)$处可微,则该函数在点$(x, y)$处的偏导数$\frac{\partial z}{\partial x}, \frac{\partial z}{\partial y}$必定存在，且$\mathrm{d} z=\frac{\partial z}{\partial x} \mathrm{~d} x+\frac{\partial z}{\partial y} \mathrm{~d} y$（利用该条件求解微分）（偏导数与微分的关系）
4、可微的充分条件：如果函数$z=f(x, y)$的偏导数$\frac{\partial z}{\partial x}$和$\frac{\partial z}{\partial y}$在点$(x, y)$处连续，则称函数$z=f(x, y)$在点$(x, y)$处可微
5、多元函数连续、可导、可微的关系：多元函数可导既不能推得连续，也不能推得可微（原因在于多元的可导是指一阶偏导数存在，而偏导数是用一元函数极限定义的$\left(f_{x}^{\prime}\left(x_{0}\right.\right., \left.\left.y_{0}\right)=\lim_{x \rightarrow x{0}} \frac{f\left(x, y_{0}\right)-f\left(x_{0}, y_{0}\right)}{x-x_{0}}, f_{y}^{\prime}\left(x_{0}, y_{0}\right)=\lim_{y \rightarrow y{0}} \frac{f\left(x_{0}, y\right)-f\left(x_{0}, y_{0}\right)}{y-y_{0}}\right)$，其动点$\left(x, y_{0}\right)$(或$\left.\left(x_{0}, y\right)\right)$是沿$x$(或$y$) 轴方向趋于$\left(x_{0}, y_{0}\right)$，它只与点$\left(x_{0}, y_{0}\right)$邻域内过该点且平行于两坐标的十字方向函数值有关；而连续（$\lim_{(x, y) \rightarrow\left(x_{0}, y_{0}\right)} f(x, y)=f\left(x_{0}, y_{0}\right)$）和可微（$f(x, y)-f(x_{0},y_{0})=A\left(x-x_{0}\right)+B\left(y-y_{0}\right)+o(\rho)$）都是用重极限定义的, 其动点$(x, y)$是以任意方式趋于$\left(x_{0}, y_{0}\right)$，它与点$\left(x_{0}, y_{0}\right)$邻域内函数值有关）
——————————————————————————
复合函数的偏导数与全微分：
1、复合函数求导：利用变量之间的树形图求导（<复习全书 P171>）
2、全微分形式不变性：对中间变量的微分和对自变量的微分具有同样的形式
3、高阶偏导数：$\frac{\partial^{2} z}{\partial x^{2}}=\frac{\partial}{\partial x}\left(\frac{\partial z}{\partial x}\right)=f_{x x}^{\prime \prime}(x, y)$，$\frac{\partial^{2} z}{\partial x \partial y}=\frac{\partial}{\partial y}\left(\frac{\partial z}{\partial x}\right)=f_{x y}^{\prime \prime}(x, y)$（混合偏导），$\frac{\partial^{2} z}{\partial y \partial x}=\frac{\partial}{\partial x}\left(\frac{\partial z}{\partial y}\right)=f_{y x}^{\prime \prime}(x, y)$（混合偏导），$\frac{\partial^{2} z}{\partial y^{2}}=\frac{\partial}{\partial y}\left(\frac{\partial z}{\partial y}\right)=f_{y y}^{\prime \prime}(x, y)$
4、混合偏导数与求导次序无关：若函数$z=f(x, y)$的两个混合偏导数$\frac{\partial^{2} z}{\partial x \partial y}$和$\frac{\partial^{2} z}{\partial y \partial x}$在点$\left(x_{0}, y_{0}\right)$都连续, 则在$\left(x_{0}, y_{0}\right)$点$\frac{\partial^{2} z}{\partial x \partial y}=\frac{\partial^{2} z}{\partial y \partial x}$
注意：如果待求导函数中的自变量不是求导变量，先对函数进行变量替换（化简），转化成有关求导变量为自变量的函数
注意：对于极坐标函数，隐含有$r=\sqrt{x^2+y^2}$，$r$是极坐标的极径
注意：区分整体求导（将一坨式子当作一个整体求导）和部分求导（对某一个自变量求导）",多元微分
